"","SeasonStart","SeasonEnd","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun"
"1",1893,1894,0,0,0,0,8,24.9,12.5,6.8,4.8,2,0,0
"2",1894,1895,0,0,0,0,7.5,5.3,21.5,8,22.5,0,0,0
"3",1895,1896,0,0,0,0.4,23.2,15,NA,8.5,2,0,0,0
"4",1896,1897,0,0,0,0.2,8,8,4.9,11.2,12,0,0,0
"5",1897,1898,0,0,0,0,1.4,8,15.5,29.5,0,0,0,0
"6",1898,1899,0,0,0,0,18.5,18,20,3.4,16,0,0,0
"7",1899,1900,0,0,0,0,1.5,7.2,12,35.5,19,3.5,0,0
"8",1900,1901,0,0,0,0,8,5.5,22.5,23,5.5,0,0,0
"9",1901,1902,0,0,0,0,0.5,9,4,11,3.5,0.3,5.5,0
"10",1902,1903,0,0,0,0,2.5,5.1,7,5.3,NA,0.3,0,0
"11",1903,1904,0,0,0,0,5,22.1,15.6,11.9,20,3.2,0,0
"12",1904,1905,0,0,0,0,0.6,15.7,14.5,18.8,2.4,1.7,0,0
